"id","name","code","account_type","chart_template_id/id","reconcile"
"account_activa_account_50301021","COSTOS DIPOSITIVOS DE COMPUTACION","50301021","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301022","COSTOS CRUZ ROJA","50301022","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301023","GASTO DE TRANSPORTE","50301023","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301024","GASTO DE VIGILANCIA PRIVADA","50301024","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301025","ENVIOS Y ENCOMIENDAS","50301025","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301026","REPARACION Y MANTENIMIENTO DE EQUIPOS","50301026","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301027","INTERESES MORA","50301027","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301028","GASTO DE TASAS Y ARANCELES","50301028","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301029","COSTOS  POR HIGIENE Y SEGURIDAD INDUSTRIAL","50301029","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_6","EGRESOS","6","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_601","GASTOS","601","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101","GASTOS PERSONAL ADMINISTRATIVO","60101","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101001","SUELDOS Y SALARIOS PERSONAL DIRECTIVOS","60101001","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101002","SUELDOS Y SALARIOS PERSONAL ADM","60101002","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101003","PRESTACIONES SOCIALES E INTERESES SOBRE PRESTACIONES","60101003","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101004","VACACIONES PERSONAL DIRECTIVO","60101004","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101005","BONO VACACIONAL PERSONAL DIRECTIVO","60101005","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101006","VACACIONES PERSONAL ADM","60101006","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101007","BONO VACIONAL PERSONAL ADM","60101007","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101008","UTILIDADES FIN DE AÑO PERSONAL DIRECTIVO","60101008","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101009","UTILIDADES FIN DE AÑO PERSONAL ADM/OP","60101009","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101010","VIATICOS DIRECTIVOS","60101010","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101011","VIATICOS ADM","60101011","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101012","HORAS EXTRAS ADM","60101012","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101013","DIAS FERIADOS Y DOMINGOS ADM","60101013","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101014","BONO DE ALIMENTACION ADM","60101014","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101015","GASTOS MEDICOS TRABAJADORES","60101015","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101016","GASTOS DE UNIFORMES ","60101016","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101017","CURSOS Y TALLERES ADM","60101017","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60101018","SEGURO HCM PERSONAL","60101018","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_602","CONTRIBUCIONES","602","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60201","CONTRIBUCIONES PARAFISCALES","60201","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60201001","APORTE IVSS Y SPF ADM","60201001","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60201003","APORTE F.A.O.V. ADM","60201003","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60201004","APORTE INCES ADM","60201004","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_603","GASTOS ADMINISTRATIVOS","603","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301","GASTOS ADMINISTRATIVOS","60301","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301001","SERVICIO TELEFONO, FAX, CELULAR","60301001","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301002","DEPRECIACION DE ACTIVOS","60301002","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301003","AMORTIZACION DE ACTIVOS","60301003","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301004","MATERIALES Y ARTICULOS DE OFICINA","60301004","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301005","HONORARIOS PROFESIONALES","60301005","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301006","GASTOS DE ALQUILER","60301006","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301007","GASTOS DE ADIESTRAMIENTO","60301007","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301008","ALIMENTOS Y BEBIDAS","60301008","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301009","SERVICIOS CONTRATADOS","60301009","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301010","GASTOS DE PUBLICIDAD","60301010","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301011","IMPUESTO MUNICIPAL","60301011","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301012","GASTOS DE FLETES Y ENCOMIENDAS","60301012","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301013","REPAR. Y MTTO. MOB Y EQUIPOS.","60301013","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301014","REPARACION, MANTENIMIENTO Y REPTOS DE VEHICULO","60301014","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301015","REPARACION Y MANTENIMIENTO DE INSTALACIONES","60301015","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301016","REPARACION Y MANTENIMIENTO DE LOCAL","60301016","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301017","GASTOS DE LIMPIEZA","60301017","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_60301018","GASTOS DE CONDOMINIO","60301018","Gastos","l10n_binaural.l10n_chart_template_binaural","True"
